TITLE;PRODUCTION_YEAR;SERIE_TITLE;SERIE_PROD_YEAR;SEASON_NR;EPISODE_NR;SERIES_YEARS;KIND;TITLELINK;PRODUCTIONYEARLINK;LINK;KEYWORD;NAME;GENDER;PERSON_INFO;INFO_CONTEXT;ROLE;ROLE_NAME;NOTE;NR_ORDER
Take a Hard Ride;1975;;;;;;movie;;;;action;Brown, Jim;m;17 February 1936;birth date;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;adult;Brown, Jim;m;17 February 1936;birth date;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;adventure;Brown, Jim;m;17 February 1936;birth date;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;family;Brown, Jim;m;17 February 1936;birth date;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;historic;Brown, Jim;m;17 February 1936;birth date;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;musical;Brown, Jim;m;17 February 1936;birth date;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;thriller;Brown, Jim;m;17 February 1936;birth date;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;war;Brown, Jim;m;17 February 1936;birth date;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;west;Brown, Jim;m;17 February 1936;birth date;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;action;Brown, Jim;m;St. Simons Island, Georgia, USA;birth notes;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;adult;Brown, Jim;m;St. Simons Island, Georgia, USA;birth notes;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;adventure;Brown, Jim;m;St. Simons Island, Georgia, USA;birth notes;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;family;Brown, Jim;m;St. Simons Island, Georgia, USA;birth notes;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;historic;Brown, Jim;m;St. Simons Island, Georgia, USA;birth notes;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;musical;Brown, Jim;m;St. Simons Island, Georgia, USA;birth notes;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;thriller;Brown, Jim;m;St. Simons Island, Georgia, USA;birth notes;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;war;Brown, Jim;m;St. Simons Island, Georgia, USA;birth notes;actor;Pike;;10
Take a Hard Ride;1975;;;;;;movie;;;;west;Brown, Jim;m;St. Simons Island, Georgia, USA;birth notes;actor;Pike;;10
El mercenario II;1983;;;;;;movie;;;;;Brown, Jim 1;m;21 February 1951;birth date;actor;;;
El mercenario II;1983;;;;;;movie;;;;;Brown, Jim 1;m;30 July 2006;death date;actor;;;
El mercenario II;1983;;;;;;movie;;;;;Brown, Jim 1;m;Stockholm, Maine, USA;birth notes;actor;;;
El mercenario II;1983;;;;;;movie;;;;;Brown, Jim 1;m;Vienna, Austria (auto accident);death notes;actor;;;
Al otro lado del túnel;1994;;;;;;movie;;;;action;Calvo, Jorge;m;9 February 1969;birth date;actor;Hermano Felicísimo;;
